74개 기초자치단체 / 인구 10만 명당 진단 수 / 201101~202006 월단위,,,,,,,,
,,,,,,,,
,,,,,,,,
연월,시군구코드,시도,시군구,"폐암
(C34)","만성폐쇄성폐질환
(J44)","하기도감염
(J20-22)","허혈성심질환
(I20-22)","뇌졸중
(I60-64)"
201103,31170,울산광역시,동구,105.1,335.1,17154.4,561.6,773.6
201103,31200,울산광역시,북구,106.8,354.5,22330.5,551.8,815.3
201103,31710,울산광역시,울주군,102.6,259.9,17344.6,654.7,703
201104,11110,서울특별시,종로구,99.8,177,12982.4,596.9,722.2
201104,11140,서울특별시,중구,104.4,238,13759,626.9,690.7
201104,11170,서울특별시,용산구,103.9,166.3,14202.4,528.2,574
201104,11200,서울특별시,성동구,81.5,223.8,15495.6,533.1,541.1
201104,11215,서울특별시,광진구,92.5,180.9,18002.6,502,518.4
201104,11230,서울특별시,동대문구,84.3,208.5,15464.6,650.6,656.4
201104,11260,서울특별시,중랑구,87.6,175.4,15021.7,475.1,582.2
201104,11290,서울특별시,성북구,107.4,169.2,18316.4,578.6,611.1
201104,11305,서울특별시,강북구,95.3,239.4,15010.4,547.2,707.1
201104,11320,서울특별시,도봉구,92.2,190.9,16790.1,535.6,623.7
201104,11350,서울특별시,노원구,90.2,213.1,17676.1,493.4,635.3
201104,11380,서울특별시,은평구,108.6,174,19078.7,512.1,580
201104,11410,서울특별시,서대문구,118.5,176,13491.1,566.3,678.1
201104,11440,서울특별시,마포구,97.6,210.5,18445,544,581.8
201104,11470,서울특별시,양천구,92.4,206.1,14133.1,517.2,598.7
201104,11500,서울특별시,강서구,108.1,165.5,18326.7,506.4,557.6
201104,11530,서울특별시,구로구,82.6,231.6,19719.1,498,578.5
201104,11545,서울특별시,금천구,96.1,189,16870.8,469.9,620.7
201104,11560,서울특별시,영등포구,117.5,261.9,17570.6,665.8,696.7
201104,11590,서울특별시,동작구,132.5,181.1,15498.4,535.9,597.9
201104,11620,서울특별시,관악구,107.3,192.6,15604.2,457.8,536.7
201104,11650,서울특별시,서초구,123.2,144.8,13260.1,591.4,599.9
201104,11680,서울특별시,강남구,102.9,202.6,12802.3,481,511.2
201104,11710,서울특별시,송파구,103.8,177.7,15041.3,434.2,520.8
201104,11740,서울특별시,강동구,98,166.4,13439.1,456.4,568.5
201104,26110,부산광역시,중구,84.2,219.8,15205.6,770.2,782.6
201104,26140,부산광역시,서구,131.8,234.4,13783.8,784,847.9
201104,26170,부산광역시,동구,103.6,196.2,11789.5,759.8,966.9
201104,26200,부산광역시,영도구,137.6,210.2,13955.5,672.5,759.1
201104,26230,부산광역시,부산진구,98.7,173.9,17659,719.7,737.4
201104,26260,부산광역시,동래구,118.4,149.8,16829.7,799.3,768.7
201104,26290,부산광역시,남구,101.3,153.5,17196,798.3,782.7
201104,26320,부산광역시,북구,78.9,163.3,15734.4,637.7,619.2
201104,26350,부산광역시,해운대구,94.2,265.5,14842.7,764.8,709.3
201104,26380,부산광역시,사하구,90,165.4,16603.2,615.6,728.1
201104,26410,부산광역시,금정구,87.9,222.6,13583.9,820.1,672.5
201104,26440,부산광역시,강서구,72.6,234.8,20193.7,959.3,696.7
201104,26470,부산광역시,연제구,103.6,173.4,14004.4,961.9,796.9
201104,26500,부산광역시,수영구,124.5,177.7,12953.1,952.5,722.7
201104,26530,부산광역시,사상구,96.7,156.4,17631.2,543.6,645.8
201104,26710,부산광역시,기장군,113.8,199.8,21841,782.6,688.3
201104,27110,대구광역시,중구,139.7,356.4,14503.9,810.7,835.5
201104,27140,대구광역시,동구,118.4,305.4,16731.2,595.5,770.8
201104,27170,대구광역시,서구,91.2,248,16062.9,539,816.6
201104,27200,대구광역시,남구,101.1,212.9,13410.8,602,867
201104,27230,대구광역시,북구,92.5,256.6,20805.5,533.6,752.8
201104,27260,대구광역시,수성구,92,262.4,16230.5,606,734.8
201104,27290,대구광역시,달서구,79.1,266.9,20488.9,454.2,683.2
201104,27710,대구광역시,달성군,91.5,366,25425.4,444.1,728
201104,28110,인천광역시,중구,103.7,298.1,19667.5,465.9,771.5
201104,28140,인천광역시,동구,76.2,630.3,20685.7,386.3,812
201104,28170,인천광역시,남구,81.6,228.9,18238.5,517.9,638
201104,28185,인천광역시,연수구,84.1,156,14230.1,452.9,566.2
201104,28200,인천광역시,남동구,86.8,212.3,20897.2,508.6,576.6
201104,28237,인천광역시,부평구,83.3,198.1,19113.1,436.2,534.1
201104,28245,인천광역시,계양구,74.1,190.2,15456.3,388,557.9
201104,28260,인천광역시,서구,69.7,151.8,21917.1,378.6,506
201104,28710,인천광역시,강화군,161.7,336.9,11018.4,609.5,573.5
201104,28720,인천광역시,옹진군,148.8,241.2,11203.5,508.1,795.5
201104,29110,광주광역시,동구,115.5,537.1,10188.3,954,592.5
201104,29140,광주광역시,서구,91.2,259.8,15523.2,616.5,472.4
