sido_code,sigungu_code,sido,yyyymm,pm10,sigungu,precipitation,male_avg_age,female_avg_age,year,month,ISO,disease_type,value
31,31140,울산,201102,57.16666667,남구,76.1,35.1,36.8,2011,2,KR-31,폐암,86.8
31,31170,울산,201102,64.0,동구,76.1,35.1,36.8,2011,2,KR-31,폐암,91.2
31,31200,울산,201102,67.5,북구,76.1,32.7,34.1,2011,2,KR-31,폐암,101.4
31,31710,울산,201102,55.0,울주군,76.1,35.9,38.4,2011,2,KR-31,폐암,72.3
11,11110,서울,201103,54.0,종로구,14.6,39.6,41.7,2011,3,KR-11,폐암,116.4
11,11140,서울,201103,65.0,중구,14.6,40.0,42.0,2011,3,KR-11,폐암,87.8
11,11170,서울,201103,71.0,용산구,14.6,39.1,41.2,2011,3,KR-11,폐암,121.3
11,11200,서울,201103,70.0,성동구,14.6,38.0,39.6,2011,3,KR-11,폐암,93.1
11,11215,서울,201103,64.0,광진구,14.6,37.0,38.4,2011,3,KR-11,폐암,114.0
11,11230,서울,201103,70.0,동대문구,14.6,38.8,40.5,2011,3,KR-11,폐암,96.6
11,11260,서울,201103,72.0,중랑구,14.6,38.1,39.8,2011,3,KR-11,폐암,102.0
11,11290,서울,201103,56.0,성북구,14.6,37.8,39.7,2011,3,KR-11,폐암,109.0
11,11305,서울,201103,57.0,강북구,14.6,39.0,41.1,2011,3,KR-11,폐암,84.9
11,11320,서울,201103,64.0,도봉구,14.6,37.9,39.8,2011,3,KR-11,폐암,109.1
11,11350,서울,201103,52.0,노원구,14.6,36.4,38.8,2011,3,KR-11,폐암,108.8
11,11380,서울,201103,68.0,은평구,14.6,38.0,39.9,2011,3,KR-11,폐암,117.5
11,11410,서울,201103,65.0,서대문구,14.6,38.4,40.6,2011,3,KR-11,폐암,118.2
11,11440,서울,201103,71.0,마포구,14.6,37.4,39.2,2011,3,KR-11,폐암,111.4
11,11470,서울,201103,57.0,양천구,14.6,36.2,38.0,2011,3,KR-11,폐암,101.6
11,11500,서울,201103,70.0,강서구,14.6,36.8,38.8,2011,3,KR-11,폐암,118.3
11,11530,서울,201103,69.0,구로구,14.6,37.5,38.9,2011,3,KR-11,폐암,93.3
11,11545,서울,201103,54.0,금천구,14.6,38.2,39.8,2011,3,KR-11,폐암,96.1
11,11560,서울,201103,71.0,영등포구,14.6,38.2,39.8,2011,3,KR-11,폐암,137.1
11,11590,서울,201103,60.0,동작구,14.6,37.7,39.7,2011,3,KR-11,폐암,152.5
11,11620,서울,201103,71.0,관악구,14.6,37.4,39.1,2011,3,KR-11,폐암,111.1
11,11650,서울,201103,71.0,서초구,14.6,36.9,38.3,2011,3,KR-11,폐암,135.4
11,11680,서울,201103,70.0,강남구,14.6,36.5,38.2,2011,3,KR-11,폐암,109.1
11,11710,서울,201103,64.0,송파구,14.6,36.5,37.9,2011,3,KR-11,폐암,117.3
11,11740,서울,201103,62.0,강동구,14.6,36.7,38.8,2011,3,KR-11,폐암,120.0
26,26110,부산,201103,57.0,중구,31.2,42.5,45.4,2011,3,KR-26,폐암,82.2
26,26140,부산,201103,66.5,서구,31.2,41.5,44.7,2011,3,KR-26,폐암,128.5
26,26170,부산,201103,62.5,동구,31.2,41.8,45.3,2011,3,KR-26,폐암,131.4
26,26200,부산,201103,57.0,영도구,31.2,41.1,44.2,2011,3,KR-26,폐암,111.0
26,26230,부산,201103,64.0,부산진구,31.2,39.1,41.5,2011,3,KR-26,폐암,103.5
26,26260,부산,201103,61.0,동래구,31.2,38.4,40.9,2011,3,KR-26,폐암,113.1
26,26290,부산,201103,56.0,남구,31.2,38.8,41.2,2011,3,KR-26,폐암,91.1
26,26320,부산,201103,63.0,북구,31.2,37.1,39.4,2011,3,KR-26,폐암,77.9
26,26350,부산,201103,42.0,해운대구,31.2,37.2,39.6,2011,3,KR-26,폐암,99.9
26,26380,부산,201103,72.0,사하구,31.2,37.7,39.8,2011,3,KR-26,폐암,90.9
26,26410,부산,201103,62.5,금정구,31.2,39.0,41.7,2011,3,KR-26,폐암,84.4
26,26440,부산,201103,58.5,강서구,31.2,40.5,43.3,2011,3,KR-26,폐암,68.0
26,26470,부산,201103,56.0,연제구,31.2,38.8,41.2,2011,3,KR-26,폐암,116.7
26,26500,부산,201103,41.0,수영구,31.2,39.9,42.4,2011,3,KR-26,폐암,111.5
26,26530,부산,201103,73.0,사상구,31.2,37.7,39.7,2011,3,KR-26,폐암,98.3
26,26710,부산,201103,49.0,기장군,31.2,38.0,40.9,2011,3,KR-26,폐암,92.5
27,27110,대구,201103,56.0,중구,16.5,41.1,44.6,2011,3,KR-27,폐암,126.6
